Brand,ProductName,DiscountedPrice,ActualPrice,Rating,NumberOfRatings,NumberOfReviews,SalesPackage,ModelNumber,PartNumber,ModelName,Series,Color,Type,SuitableFor,MSOfficeProvided,ProcessorBrand,ProcessorName,SSD,RAM,RAMType,StorageCapacity,GraphicProcessor,StorageType,OperatingSystem,USBPort,TouchScreen,ScreenSize,ScreenResolution,ScreenType,Speakers,InternalMic,WirelessLAN,Bluetooth,Dimensions,Weight,DiskDrive,WebCamera,Keyboard,WarrantySummary,WarrantyServiceType,CoveredinWarranty,NotCoveredinWarranty,ClockSpeed
HP,"HP Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 EE Chromebook  (11.6 Inch, Black, 1.34 Kg)",9990,34554,3.7,7031,588,"Laptop, Power Adaptor, User Guide, Warranty Documents",11MK G9 EE,7D2W3PC#ACJ,11MK G9,Chromebook,Black,Chromebook,Processing & Multitasking,No,MediaTek,MT8183,No,4 GB,LPDDR4X,,MediaTek Integrated ARM Mali G72 MP3 Graphics,eMMC,Chrome,4,,,1366 x 768 Pixel,"HD, IPS, anti-glare, 220 nits, 50% NTSC",Yes,Yes,,v4.2,295 x 205.3 x 18.8 mm,1.34 Kg,Not Available,720p HD camera,"Spill resistant, full-size, Chrome keyboard with skirt anchored keycaps",1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,
HP,"HP Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a- na1004TU Chromebook  (14 Inch, Mineral Silver, 1.46 kg)",15990,30000,3.7,1447,135,"Laptop, Battery, Adapter, Cables, User Manuals",14a- na1004TU,5C5M4PA#ACJ,Chromebook,Chromebook,Mineral Silver,Chromebook,Processing & Multitasking,No,Intel,Celeron Dual Core,No,4 GB,LPDDR4,,Intel Integrated UHD,eMMC,Chrome,"2 x SuperSpeed USB Type-C 5 Gbps Signaling Rate (USB Power Delivery, DisplayPort 1.2), 1 x SuperSpeed USB Type-A 5 Gbps Signaling Rate",,,1920 x 1080 Pixels,"Full HD, IPS, Anti-Glare, Micro-Edge, Brightness: 250 nits, 157 PPI, Color Gamut: 45% NTSC, Screen-to-Body Ratio: 82%",Built-in Dual Speakers,Integrated Dual Array Digital Microphone,,v5.0,325 x 218 x 17.8 mm,1.46 kg,Not Available,HP 720 Wide Vision HD Camera,"Full Size, Natural Silver keyboard",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,"Base Frequency 1.1 GHz, Max Turbo Boost Frequency Up to 2.8 GHz"
HP,"HP Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0220TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.6 kg, With MS Office)",53999,70517,3.9,22,0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fd0220TU,9D3N0PA#ACJ,15-fd0220TU,Chromebook,Natural Silver,Thin and Light Laptop,Everyday Use,Yes,Intel,Core i5,Yes,8 GB,DDR4,,Intel Integrated Iris Xe,SSD,Windows 11 Home,"1 x USB Type-C 5 Gbps Signaling Rate, 2 x USB Type A 5 Gbps Signaling Rate",,,1920 x 1080 Pixels,"Full HD, Micro Edge, Anti-glare, Brightness: 250 Nits, 141 PPI, Color Gamut: 45% NTSC",Dual Speakers,Integrated Dual Array Digital Microphones,,v5.3,358 x 242 x 19.9 mm,1.6 kg,Not Available,HP True Vision 1080p FHD Camera with Temporal Noise Reduction,"Full Size, Backlit Soft Grey Keyboard with Numeric Keypad",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,Upto 4.6 GHz
Lenovo,"Lenovo IdeaPad Pro 5 2.8K OLED AI PC Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home) 14IMH9 Thin and Light Laptop  (14 Inch, Arctic Grey, 1.46 Kg, With MS Office)",104990,146890,4.4,124,16,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IMH9,83D2001GIN,14IMH9,IdeaPad Pro 5 2.8K OLED AI PC,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core Ultra 9,Yes,32 GB,LPDDR5X,,Intel Integrated Arc Graphics,SSD,Windows 11 Home,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On, 1 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.0 and DisplayPort 1.4, 1 x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.0 and DisplayPort 1.4",,,2880 x 1800 Pixel,"2.8K, OLED, 400nits Glossy, 100% DCI-P3, 120Hz, Eyesafe, DisplayHDR True Black 500",Yes,Yes,,v5.3,312 x 221 x 15.99 mm,1.46 Kg,Not Available,"Full HD 1080p + IR with Privacy Shutter, ToF Sensor","Backlit, English",1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,please call the Lenovo Customer Support - Tablets : 1800-208-7555 / Idea/Yoga/Legion : 1800 -419 -7555 / Commercial/Think : 1800-419-4666 / Whatsapp Chat -Legion/Yoga/IdeaPad &Tablets :+91 80 67916666 Think Series :+91 80 67916677,Manufacturing Defects,Physical Damage,Max Turbo up to 5.1GHz
ASUS,"ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 Chromebook  (14 Inch, Transparent Silver, 1.47 Kg)",13490,32990,3.8,2336,203,"Laptop, Charger, Product manual",CX1400CKA-NK0453,90NX03I2-M00FX0,CX1400CKA-NK0453,Chromebook,Transparent Silver,Chromebook,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",No,Intel,Celeron Dual Core,No,4 GB,LPDDR4X,,Intel Integrated UHD,eMMC,Chrome,"2 x USB 3.2 Gen 1 Type-A, 2 x USB 3.2 Gen 1 Type-C support display / power delivery",,,1920 x 1080 Pixel,"Full HD, LED Backlit",Yes,Yes,,v5.2,326.5 x 228.7 x 18.7 mm,1.47 Kg,Not Available,720p HD camera,Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defect,Physical Damage,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz
ASUS,"ASUS Vivobook GO 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ549WS Thin and Light Laptop  (15.6 Inch, Black, 1.63 Kg, With MS Office)",40579,58990,4.1,53,4,"Laptop, Power Adaptor, User Guide, Warranty Documents",E1504FA-NJ549WS,90NB14I2-M00010,E1504FA-NJ549WS,Vivobook GO 15,Black,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 5 Quad Core,Yes,16 GB,LPDDR5,,AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",,,1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, 60Hz refresh rate, Anti-glare display, (Screen-to-body ratio)84%",Yes,Yes,,v5.3,360.3 x 232.5 x 17.9 mm,1.63 Kg,Not Available,720p HD camera With privacy shutter,Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Any Type of Damage,2.8 GHz upto max turbo frequency at 4.3 Ghz
MICROSOFT,"MICROSOFT Surface Pro (11th Edition) AI PC Qualcomm Snapdragon X Elite - (16 GB/512 GB SSD/Windows 11 Home) ZIA-00014 2 in 1 Laptop  (13 Inch, Platinum, 0.895 Kg)",161990,165999,4.7,53,4,"Laptop, Power Supply, Quick Start Guide, Safety and Warranty Documents",ZIA-00014,ZIA-00014,ZIA-00014,Surface Pro (11th Edition) AI PC,Platinum,2 in 1 Laptop,Processing & Multitasking,No,Qualcomm,Snapdragon X Elite,Yes,16 GB,LPDDR5X,,Qualcomm Snapdragon X Elite - X1E80100 - Qualcomm Adreno GPU (12 Core),SSD,Windows 11 Home,2 X USB-C with USB 4,,,2880 x 1920 Pixel,OLED PixelSense TM Touchscreen,2W stereo speakers with Dolby Atmos,Dual Studio Mics with Voice Focus,,Yes,287 x 208 x 9.3 mm,0.895 Kg,Not Available,"Front Camera - 12MP, 1440p@30 fps (QHD) video & 10MP, 4K@30 fps Video Resolution",Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Software & Hardware Only,Physical Damage,2.8 GHz upto max turbo frequency at 4.3 Ghz
MICROSOFT,"MICROSOFT Surface Laptop (7th Edition) AI PC Qualcomm Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11 Home) ZGJ-00023 Laptop  (13.8 Inch, Platinum, 1.22 Kg)",113990,116999,4.7,(29),4,"Laptop, Power Supply, Quick Start Guide, Safety and Warranty Documents",ZGJ-00023,ZGJ-00023,ZGJ-00023,Surface Laptop (7th Edition) AI PC,Platinum,Laptop,Processing & Multitasking,No,Qualcomm,Snapdragon X Plus,Yes,16 GB,LPDDR5X,,Qualcomm Snapdragon X Elite - X1P64100 - Qualcomm Adreno GPU (10 Core),SSD,Windows 11 Home,"2 x USB-C with USB4, 1 x USB-A 3.1",,,2304 x 1536 Pixel,LCD PixelSense TM Touchscreen,2W stereo speakers with Dolby Atmos,Dual Studio Mics with Voice Focus,,Yes,301 x 220 x 17.5 mm,1.22 Kg,Not Available,"2MP, 1080p Full HD front facing",Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Software & Hardware Only,Physical Damage,2.8 GHz upto max turbo frequency at 4.3 Ghz
MSI,"MSI Cyborg 15 Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) Cyborg 15 A12UDX-1048IN Gaming Laptop  (15.6 Inch, Translucent Black, 1.98 Kg)",79990,97990,4.8,16,3,"Laptop,Battery,Power Adapter, User Guide",Cyborg 15 A12UDX-1048IN,9S7-15K111-1048,Cyborg 15 A12UDX-1048IN,Cyborg 15,Translucent Black,Gaming Laptop,Gaming,No,Intel,Core i7,Yes,16 GB,DDR5,,NVIDIA GeForce RTX 3050,SSD,Windows 11 Home,"1 x Type-C (USB3.2 Gen1 / DP) ,2 x Type-A USB3.2 Gen1",,,1920 x 1080 Pixel,"FHD , 144Hz 45%NTSC IPS-Level",Yes,Yes,,v5.2,359.36 x 250.34 x 22.9 mm,1.98 Kg,Not Available,HD type (30fps@720p),Blue Backlit Gaming Keyboard,2 Year Onsite Warranty,Onsite,Manufacturing Defects,"Physical Damage, Burn, Liquid Spill",1.7 GHz upto Max turbo frequency at 4.70 Ghz
Acer,"Acer Aspire 3 Spin 14 Intel Core i3 13th Gen N305 - (8 GB/512 GB SSD/Windows 11 Home) A3SP14-31PT-3554 Thin and Light Laptop  (14 inch, Silver, 1.54 Kg, With MS Office)",41990,55999,4.1,84,5,"Laptop, Power Adaptor, User Guide, Warranty Documents",A3SP14-31PT-3554,NX.KENSI.004,A3SP14-31PT,Aspire 3 Spin 14,Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,8 GB,LPDDR5,,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB Type-C port with DC-in, 2 x USB 3.2 port",,,1920 x 1200 Pixel,"Full HD, TFT, LCD",Yes,Yes,,v5.2,319.8 x 227.9 x 18.9 mm,1.54 Kg,Not Available,T-Type HD camera with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction,80-/81-/84-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,Max Frequency Up to 3.8 GHz
