Brand,ProductName,DiscountedPrice,ActualPrice,Rating,NumberOfRatings,NumberOfReviews,SalesPackage,ModelNumber,PartNumber,ModelName,Series,Color,Type,SuitableFor,MSOfficeProvided,ProcessorBrand,ProcessorName,SSD,RAM,RAMType,StorageCapacity,GraphicProcessor,StorageType,OperatingSystem,USBPort,TouchScreen,ScreenSize,ScreenResolution,ScreenType,Speakers,InternalMic,WirelessLAN,Bluetooth,Dimensions,Weight,DiskDrive,WebCamera,Keyboard,WarrantySummary,WarrantyServiceType,CoveredinWarranty,NotCoveredinWarranty,ClockSpeed
HP,"HP Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 EE Chromebook  (11.6 Inch, Black, 1.34 Kg)",9990,34554,3.7,7031,588,"Laptop, Power Adaptor, User Guide, Warranty Documents",11MK G9 EE,7D2W3PC#ACJ,11MK G9,Chromebook,Black,Chromebook,Processing & Multitasking,No,MediaTek,MT8183,No,4 GB,LPDDR4X,,MediaTek Integrated ARM Mali G72 MP3 Graphics,eMMC,Chrome,4,,,1366 x 768 Pixel,"HD, IPS, anti-glare, 220 nits, 50% NTSC",Yes,Yes,,v4.2,295 x 205.3 x 18.8 mm,1.34 Kg,Not Available,720p HD camera,"Spill resistant, full-size, Chrome keyboard with skirt anchored keycaps",1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,
HP,"HP Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a- na1004TU Chromebook  (14 Inch, Mineral Silver, 1.46 kg)",15990,30000,3.7,1447,135,"Laptop, Battery, Adapter, Cables, User Manuals",14a- na1004TU,5C5M4PA#ACJ,Chromebook,Chromebook,Mineral Silver,Chromebook,Processing & Multitasking,No,Intel,Celeron Dual Core,No,4 GB,LPDDR4,,Intel Integrated UHD,eMMC,Chrome,"2 x SuperSpeed USB Type-C 5 Gbps Signaling Rate (USB Power Delivery, DisplayPort 1.2), 1 x SuperSpeed USB Type-A 5 Gbps Signaling Rate",,,1920 x 1080 Pixels,"Full HD, IPS, Anti-Glare, Micro-Edge, Brightness: 250 nits, 157 PPI, Color Gamut: 45% NTSC, Screen-to-Body Ratio: 82%",Built-in Dual Speakers,Integrated Dual Array Digital Microphone,,v5.0,325 x 218 x 17.8 mm,1.46 kg,Not Available,HP 720 Wide Vision HD Camera,"Full Size, Natural Silver keyboard",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,"Base Frequency 1.1 GHz, Max Turbo Boost Frequency Up to 2.8 GHz"
Lenovo,"Lenovo IdeaPad Slim 5 Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Laptop  (16 inch, Cloud Grey, 1.89 Kg, With MS Office)",77990,123090,4.2,(16983),135,"Laptop, Power Adaptor, User Guide, Warranty Documents",16IRL8,82XF003HIN,16IRL8,IdeaPad Slim 5,Cloud Grey,Laptop,Processing & Multitasking,Yes,Intel,Core i7,Yes,16 GB,LPDDR5,,Intel Integrated Iris Xe,SSD,Windows 11 Home,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 2 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",,,1920 x 1200 Pixel,"WUXGA IPS 300nits Anti-glare, 45% NTSC, TÜV Low Blue Light",Yes,Yes,,v5.2,356 x 251 x 16.9 mm,1.89 Kg,Not Available,"FHD 1080p + IR with Privacy Shutter, ToF Sensor","Backlit, English",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,Upto 5.0GHz
Infinix,"Infinix X3 Slim Intel Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin and Light Laptop  (14 Inch, Blue, 1.24 Kg)",42990,69990,4.2,146,14,"1 Laptop, 1 Power Adaptor, 1 User Guide, 1 Warranty Documents",XL422,71008301321,XL422,X3 Slim Intel,Blue,Thin and Light Laptop,Processing & Multitasking,No,Intel,Core i7,Yes,16 GB,LPDDR4X,,Intel Integrated Iris Xe,SSD,Windows 11 Home,"Yes, 2 x USB 3.0, 2 x C-Type",,,1920 x 1080 Pixel,"Full HD IPS Display ( 300nits peak brightness, 100% sRGB, NTSC 72%)",Yes,Yes,,v5.1,323.3 x 14.8 x 211.1 mm,1.24 Kg,Not Available,"FHD 1080p + IR with Privacy Shutter, ToF Sensor",Backlit Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defect,Physical Damage,1.7 GHz with Turbo Boost Upto 4.7 GHz
ASUS,"ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1400CKA-NK0453 Chromebook  (14 Inch, Transparent Silver, 1.47 Kg)",13490,32990,3.8,2336,203,"Laptop, Charger, Product manual",CX1400CKA-NK0453,90NX03I2-M00FX0,CX1400CKA-NK0453,Chromebook,Transparent Silver,Chromebook,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",No,Intel,Celeron Dual Core,No,4 GB,LPDDR4X,,Intel Integrated UHD,eMMC,Chrome,"2 x USB 3.2 Gen 1 Type-A, 2 x USB 3.2 Gen 1 Type-C support display / power delivery",,,1920 x 1080 Pixel,"Full HD, LED Backlit",Yes,Yes,,v5.2,326.5 x 228.7 x 18.7 mm,1.47 Kg,Not Available,720p HD camera,Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defect,Physical Damage,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz
HP,"HP Victus Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050A) 15-fa1389TX Gaming Laptop  (15.6 Inch, Performance Blue, 2.29 Kg)",81990,95746,4.2,54,2,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fa1389TX,A9NC8PA#ACJ,15-fa1389TX,Victus,Performance Blue,Gaming Laptop,Gaming,No,Intel,Core i7,Yes,16 GB,DDR4,,NVIDIA GeForce RTX 3050A,SSD,Windows 11 Home,"1 x USB Type-A 5Gbps signaling rate, 1 x USB Type-A 5Gbps signaling rate (HP Sleep and Charge), 1 x USB Type-C 5Gbps signaling rate (DisplayPort 1.4, HP Sleep and Charge)",,,1920 x 1080 Pixel,"Full HD, 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,Yes,,v5.3,357.9 x 255 x 23.5 mm,2.29 Kg,Not Available,HD camera,"Full-size, backlit, performance blue keyboard with numeric keypad",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,Max Frequency Upt 4.7 GHz
MICROSOFT,"MICROSOFT Surface Pro (11th Edition) AI PC Qualcomm Snapdragon X Elite - (16 GB/512 GB SSD/Windows 11 Home) ZIA-00014 2 in 1 Laptop  (13 Inch, Platinum, 0.895 Kg)",161990,165999,4.7,54,2,"Laptop, Power Supply, Quick Start Guide, Safety and Warranty Documents",ZIA-00014,ZIA-00014,ZIA-00014,Surface Pro (11th Edition) AI PC,Platinum,2 in 1 Laptop,Processing & Multitasking,No,Qualcomm,Snapdragon X Elite,Yes,16 GB,LPDDR5X,,Qualcomm Snapdragon X Elite - X1E80100 - Qualcomm Adreno GPU (12 Core),SSD,Windows 11 Home,2 X USB-C with USB 4,,,2880 x 1920 Pixel,OLED PixelSense TM Touchscreen,2W stereo speakers with Dolby Atmos,Dual Studio Mics with Voice Focus,,Yes,287 x 208 x 9.3 mm,0.895 Kg,Not Available,"Front Camera - 12MP, 1440p@30 fps (QHD) video & 10MP, 4K@30 fps Video Resolution","Full-size, backlit, performance blue keyboard with numeric keypad",1 Year Onsite Warranty,Onsite,Software & Hardware Only,Physical Damage,Max Frequency Upt 4.7 GHz
MICROSOFT,"MICROSOFT Surface Laptop (7th Edition) AI PC Qualcomm Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11 Home) ZGJ-00023 Laptop  (13.8 Inch, Platinum, 1.22 Kg)",113990,116999,4.7,(29),2,"Laptop, Power Supply, Quick Start Guide, Safety and Warranty Documents",ZGJ-00023,ZGJ-00023,ZGJ-00023,Surface Laptop (7th Edition) AI PC,Platinum,Laptop,Processing & Multitasking,No,Qualcomm,Snapdragon X Plus,Yes,16 GB,LPDDR5X,,Qualcomm Snapdragon X Elite - X1P64100 - Qualcomm Adreno GPU (10 Core),SSD,Windows 11 Home,"2 x USB-C with USB4, 1 x USB-A 3.1",,,2304 x 1536 Pixel,LCD PixelSense TM Touchscreen,2W stereo speakers with Dolby Atmos,Dual Studio Mics with Voice Focus,,Yes,301 x 220 x 17.5 mm,1.22 Kg,Not Available,"2MP, 1080p Full HD front facing","Full-size, backlit, performance blue keyboard with numeric keypad",1 Year Onsite Warranty,Onsite,Software & Hardware Only,Physical Damage,Max Frequency Upt 4.7 GHz
MSI,"MSI Vector 17 HX Intel Core i9 14th Gen 14900HX - (32 GB/2 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4070) Vector 17 HX A14VGG-239IN Gaming Laptop  (17 inch, Cosmos Gray, 3.0 Kg)",219990,269990,4.2,(30007),2,"Laptop,Battery,Power Adapter, User Guide, MSI Bag",Vector 17 HX A14VGG-239IN,9S7-17S262-239,Vector 17 HX A14VGG-239IN,Vector 17 HX,Cosmos Gray,Gaming Laptop,Gaming,No,Intel,Core i9,Yes,32 GB,DDR5,,NVIDIA GeForce RTX 4070,SSD,Windows 11 Home,"1 x Type-C (USB3.2 Gen2 / DP), 1 x Type-C (USB / DP / Thunderbolt 4), 1 x Type-C (USB3.2 Gen2 / DP) with PD charging, 1 x Type-A USB3.2 Gen1, 1 x Type-A USB3.2 Gen2",,,2560 x 1600 Pixel,"QHD+, 240Hz, 100% DCI-P3, IPS-level panel",Yes,Yes,,v5.4,380 x 297.97 x 29.45 mm,3.0 Kg,Not Available,HD type (30fps@720p)3D Noise Reduction (3DNR),Per-Key RGB gaming keyboard by SteelSeries,2 Year Carry-in Warranty,Carry-in,Manufacturing Defects,"Physical Damage, Burn, Liquid Spill",1.6 Ghz upto Max turbo frequency at 5.8 GHz
ASUS,"ASUS Zenbook 14 OLED AI PC Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home) UX3405MA-PZ961WS Thin and Light Laptop  (14 inch, Foggy Silver, 1.28 Kg, With MS Office)",134990,170990,4.2,(11),2,"Laptop, Power Adaptor, User Guide, Warranty Documents",UX3405MA-PZ961WS,90NB11R4-M00XP0,UX3405MA-PZ961WS,Zenbook 14 OLED AI PC,Foggy Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core Ultra 9,Yes,32 GB,LPDDR5X,,Intel Integrated Integrated,SSD,Windows 11 Home,"1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 supports display / power delivery",,,2880 x 1800 Pixel,"3K OLED 16:10 aspect ratio, Response time: 0.2ms, 120Hz refresh rate, 400nits, 500nits HDR peak brightness, 100% DCI-P3 color gamut, Gamut mapping: Yes, VESA CERTIFIED Display HDR True Black 500, Glossy display, 70% less harmful blue light, TÜV Rheinland-certified, SGS Eye Care Display",Built-in speaker,Built-in array microphone,,v5.3,312.4 x 220.1 x 14.9mm,1.28 Kg,Not Available,FHD camera with IR function to support Windows Hello With privacy shutter,Backlit Chiclet Keyboard,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,Upto 5.1 GHz
